,minute,short,medium,long,
Adia sp.1,0,1,0,0,
Adia sp.2,0,1,0,0,
Adia sp.3,0,1,0,0,
Adia spp.,0,1,0,0,
Agalais milberti,0,0,0,1,
Agrotis obliqua,0,0,0,1,
Andrena sp.1,0,0,1,0,
Androloma macullochi,0,0,0,1,
Anthomyia sp.1,0,1,0,0,
Anthomyiidae sp.1,0,1,0,0,
Anthomyiidae sp.2,0,1,0,0,
Arachnida,0,0,1,0,Note: Arachnid sp. Morphology classification based on leg rather than proboscis length as this was more relevant (legs were often placed inside flower corolla tubes).
Beris sp.1,0,1,0,0,
Bombus balteatus,0,0,0,1,
Bombus flavifrons,0,0,0,1,
Bombus melanopygus,0,0,1,0,
Bombus mixtus,0,0,0,1,
Bombus sylvicola,0,0,0,1,
Botanophila sp.1,0,1,0,0,
Botanophila sp.2,0,1,0,0,
Botanophila sp.3,0,1,0,0,
Botanophila sp.4,0,1,0,0,
Botanophila spp.,0,1,0,0,
Calliphorid sp.1,0,0,1,0,
Carabidae sp.1,0,1,0,0,
Chaetovoria seriata,0,0,1,0,
Cheilosia bigelowi,0,1,0,0,
Cheilosia nigrofasciata,0,1,0,0,
Cheilosia seripila,0,1,0,0,
Chrysogaster sp.1,0,0,1,0,
Chrysogaster sp.2,0,0,1,0,
Chrysogaster sp.3,0,0,1,0,
Chrysotoxum fasciatum,0,1,0,0,
Coccinellidae sp.1,0,1,0,0,
Colias meadii,0,0,0,1,
Crinurina sp. 1,0,1,0,0,
Delia sp.1,0,1,0,0,
Delia sp.2,0,1,0,0,
Delia sp.3,0,1,0,0,
Delia/Lasiomma sp.1,0,1,0,0,
Dilophus sp.1,1,0,0,0,
Drasteria petricola,0,0,0,1,
Drymeia c.f. minor,0,1,0,0,
Drymeia sp.1,0,1,0,0,
Drymeia spp.,0,1,0,0,
Dryomyza sp.1,0,1,0,0,
Eana osseana,0,0,0,1,
Eremomyioides spp.,0,1,0,0,
Eristalis tenax,0,0,1,0,
Eupeodes lapponicus,0,0,1,0,
Euphydryas anicia,0,0,0,1,
Eustalomyia sp.1,0,1,0,0,
Eustalomyia sp.2,0,1,0,0,
Hemiptera sp.1,1,0,0,0,
Hemiptera sp.2,1,0,0,0,
Hemiptera sp.3,1,0,0,0,
Hiatomyia coriacea,0,1,0,0,
Hiatomyia cyanea,0,1,0,0,
Hiatomyia hecate,0,1,0,0,
Hiatomyia plutonia,0,1,0,0,
Hiatomyia signatiseta,0,1,0,0,
Hiatomyia spp.,0,1,0,0,
Hiatomyia spp.m,0,1,0,0,
Hydrophoria sp.1,0,1,0,0,
Hydrophoria sp.2,0,1,0,0,
Hydrotaea sp.1,0,0,1,0,
Lasioglossum sp.1,0,0,1,0,
Lasionycta impingens,0,0,0,1,
Macrophya sp.1,0,0,1,0,
Macrophya sp.2,0,0,1,0,
Macrophya sp.3,0,0,1,0,
Macrophya sp.4,0,0,1,0,
Miltogramminae sp.1,0,0,1,0,
Musca sp.1,0,0,1,0,
Muscina sp.1,0,0,1,0,
Parasyrphus c.f. tarsatus,0,0,1,0,
Parasyrphus nigritarsus,0,0,1,0,
Parasyrphus relictus,0,0,1,0,
Parasyrphus sp.1,0,0,1,0,
Paregle/Adia sp.1,0,1,0,0,
Paregle/Adia sp.2,0,1,0,0,
Paregle/Adia sp.3,0,1,0,0,
Paregle/Adia sp.4,0,1,0,0,
Paregle/Adia spp.,0,1,0,0,
Pegohylemyia sp.1,0,1,0,0,
Pegohylemyia sp.2,0,1,0,0,
Pegohylemyia sp.3,0,1,0,0,
Pegohylemyia spp.,0,1,0,0,
Pegomya sp.1,0,1,0,0,
Pegomya sp.2,0,1,0,0,
Pegomya spp.,0,1,0,0,
Phaonia atrocitrea,0,0,1,0,
Phaonia brunneinervis,0,0,1,0,
Phaonia incerta,0,0,1,0,
Phaonia monticola,0,0,1,0,
Phaonia protuberans,0,1,0,0,
Phaonia sp.1,0,0,1,0,
Phorbia sp.1,0,1,0,0,
Platycheirus holarcticus,0,1,0,0,
Platycheirus spp.,0,1,0,0,
Plebejus icarioides,0,0,0,1,
Potamia sp.1,0,0,1,0,
Potamia sp.2,0,0,1,0,
Pyla scintillans,0,0,0,1,
Pyla spp.,0,0,0,1,
Pyrausta c.f. subsequalis,0,0,0,1,
Pyrgus ruralis,0,0,0,1,
Rhamphomyia empis spp.,1,0,0,0,
Rhamphomyia spp.,1,0,0,0,
Schoenomyza sp.1,0,1,0,0,
Speranza simplex,0,0,0,1,
Sphaerophoria sulphuripes,0,1,0,0,
Spilogona spp.,0,1,0,0,
Symphoromyia sp.1,0,1,0,0,
Synanthedon sp.1,0,0,0,1,
Syngrapha sp.1,0,0,0,1,
Syrphus ribesii,0,0,1,0,
Syrphus torvus,0,0,1,0,
Tachinid spp.,0,0,1,0,
Thricops c.f. innocuus,0,1,0,0,
Thricops c.f. septentrionalis,0,1,0,0,
Thricops inocuus,0,1,0,0,
Thricops septentrionalis,0,1,0,0,
Thricops spiniger,0,1,0,0,
Thricops villicrus,0,1,0,0,
